icon-button	button	buttons
icon-list	ul	lists
icon-list-item	li	lists
image	img	media
image-cropper	div	content
image-file-input	input	forms
image-input	input	forms
info-state	section	navigation
information-callout	div	content
input	input	forms
input-group	div	forms
input-with-mask	div	content
inset-text	div	content
ireland-individual-health-identifier-input	input	national
ireland-individual-health-identifier-view	span	national
island-kennitala-input	input	national
island-kennitala-view	span	national
italia-codice-fiscale-input	input	national
italia-codice-fiscale-view	span	national
kanban-table	table	tables
kanban-table-body	tbody	tables
kanban-table-foot	tfoot	tables
kanban-table-head	thead	tables
kanban-table-row	tr	tables
kanban-table-td	td	tables
kanban-table-th	th	tables
kbd	kbd	content
label	label	forms
latvija-personas-kods-input	input	national
latvija-personas-kods-view	span	national
liechtenstein-national-identity-card-number-input	input	national
liechtenstein-national-identity-card-number-view	span	national
liechtenstein-passport-number-input	input	national
liechtenstein-passport-number-view	span	national
lietuva-asmens-kodas-input	input	national
lietuva-asmens-kodas-view	span	national
lietuva-pasas-input	input	national
lietuva-pasas-view	span	national
line-chart	figure	data-viz
listbox	div	content
loading	div	content
malta-national-identification-number-input	input	national
malta-national-identification-number-view	span	national
malta-passport-number-input	input	national
malta-passport-number-view	span	national
masonry	div	content
measurement-instance-input	input	forms
measurement-instance-view	div	content
measurement-system-input	input	forms
measurement-system-view	div	content
measurement-unit-input	input	forms
measurement-unit-view	div	content
medical-banner	div	overlays
medical-banner-box	div	content
medical-banner-box-for-advice	div	content
medical-banner-box-for-danger	div	content
mentions-input	div	content
menu	div	navigation
menu-bar	div	navigation
menu-bar-button	button	navigation
menu-group	div	forms
menu-item	div	navigation
meter	meter	data-viz
mockup-browser	div	content
mockup-laptop	div	content
mockup-phone-landscape	div	content
mockup-phone-portrait	div	content
mockup-shell	div	content
mockup-tablet-landscape	div	content
mockup-tablet-portrait	div	content
mockup-watch	div	content
mockup-window	div	content
month-input	input	forms
mutually-exclusive	div	content
navigation-menu	nav	navigation
nederland-burgerservice-nummer-input	input	national
nederland-burgerservice-nummer-view	span	national
nederland-identiteitskaart-nummer-input	input	national
nederland-identiteitskaart-nummer-view	span	national
nederland-paspoort-nummer-input	input	national
nederland-paspoort-nummer-view	span	national
net-promoter-score-picker	div	pickers
net-promoter-score-picker-button	button	pickers
net-promoter-score-view	div	content
newsletter-signup	form	forms
norge-fodselsnummer-input	input	national
norge-fodselsnummer-view	span	national
northern-ireland-health-and-care-number-input	input	national
northern-ireland-health-and-care-number-view	span	national
notification	div	content
number-input	input	forms
option	option	forms
organization	article	navigation
overlay-container	div	content
padding-reset	div	content
pagination-link	a	links
pagination-list	ol	lists
pagination-list-item	li	lists
pagination-nav	nav	navigation
panel	div	content
password-input	input	forms
password-input-or-text-input-div	div	content
person	article	navigation
phase-banner	div	overlays
photo-pack	div	content
pictogram	figure	media
pin-input-div	div	content
place	article	navigation
polska-numer-identyfikacji-podatkowej-input	input	national
polska-numer-identyfikacji-podatkowej-view	span	national
polska-pesel-input	input	national
polska-pesel-view	span	national
popconfirm-dialog	div	content
popover	div	content
popup	div	content
portugal-numero-de-identificacao-fiscal-input	input	national
portugal-numero-de-identificacao-fiscal-view	span	national
portugal-passaporte-input	input	national
portugal-passaporte-view	span	national
postal-code-input	input	forms
postal-code-view	div	content
product-card	article	navigation
progress	progress	data-viz
progress-bar	div	navigation
progress-circle	div	content
progress-spinner	div	content
qr-code-image	div	content
question	div	content
radio-group	div	forms
radio-input	input	forms
range-input	input	forms
red-amber-green-picker	div	pickers
red-amber-green-picker-button	button	pickers
red-amber-green-view	div	content
red-orange-yellow-green-blue-picker	div	pickers
red-orange-yellow-green-blue-picker-button	button	pickers
red-orange-yellow-green-blue-view	div	content
related-content	aside	navigation
reset-input	input	forms
resizable	div	content
review-date	span	content
romania-cod-numeric-personal-input	input	national
romania-cod-numeric-personal-view	span	national
romania-pasaport-input	input	national
romania-pasaport-view	span	national
scatter-chart	figure	data-viz
screen-reader-span	span	content
scroll-area	div	content
scroll-bar	div	navigation
scroller	div	content
scroller-base	div	content
scroller-video	div	content
search-input	input	forms
section-heading	header	navigation
section-link	a	links
section-list	ol	lists
section-list-item	li	lists
section-nav	nav	navigation
segment-group	div	forms
segment-group-item	div	forms
select	select	forms
select-with-extras	div	content
separator	hr	navigation
share-page	div	content
sheet	div	content
sidebar	aside	navigation
signature-pad	canvas	media
skeleton	div	content
skip-link	a	links
slide-out-drawer	div	content
slider	div	content
slider-button	button	buttons
slovenija-emso-input	input	national
slovenija-emso-view	span	national
slovensko-pas-input	input	national
slovensko-pas-view	span	national
slovensko-rodne-cislo-input	input	national
slovensko-rodne-cislo-view	span	national
sonner	div	content
sparkline	span	content
split-button	div	forms
split-view	div	navigation
splitter	div	content
statistic	div	content
status-light	span	content
status-tag	span	content
step-list	ol	lists
step-list-item	li	lists
sticky-promo-banner	aside	overlays
submit-input	input	forms
success-panel	div	content
summary-box	aside	navigation
summary-list	ol	lists
summary-list-item	li	lists
suomi-henkilotunnus-input	input	national
suomi-henkilotunnus-view	span	national
super-banner	div	overlays
sverige-personnummer-input	input	national
sverige-personnummer-view	span	national
switch-button	button	buttons
tab-bar	div	navigation
tab-bar-button	button	navigation
tab-panel	div	overlays
table	table	tables
table-body	tbody	tables
table-foot	tfoot	tables
table-head	thead	tables
table-row	tr	tables
table-td	td	tables
table-th	th	tables
tag	span	content
tag-group	div	forms
tag-input	div	content
task-bar	div	navigation
task-bar-button	button	navigation
task-list	ol	lists
task-list-item	li	lists
tel-input	input	forms
tel-link	a	links
text-area-input	textarea	forms
text-area-input-with-character-counter	div	content
text-input	input	forms
text-input-with-search	div	content
theme-provider	div	content
theme-select	select	forms
theme-select-option	option	forms
theme-view	div	content
tile	div	content
tile-map	div	content
time-input	input	forms
time-picker-input	div	content
timeline-list	ol	lists
timeline-list-item	li	lists
timeout-dialog	dialog	overlays
timer	span	content
timer-button	button	buttons
toast	div	content
toggle-button	button	buttons
toggle-group	div	forms
tool-bar	div	navigation
tool-bar-button	button	navigation
tooltip	div	content
tour	div	content
tour-list	ol	lists
tour-list-item	li	lists
transfer-list	div	content
tree-link	a	links
tree-list	ol	lists
tree-list-item	li	lists
tree-menu	div	navigation
tree-nav	nav	navigation
tree-select	div	content
united-kingdom-national-health-service-number-input	input	national
united-kingdom-national-health-service-number-view	div	national
united-kingdom-national-insurance-number-input	input	national
united-kingdom-national-insurance-number-view	span	national
united-states-social-security-number-input	input	national
united-states-social-security-number-view	div	national
url-input	input	forms
validation-list	ul	lists
validation-list-item	li	lists
video-player	div	content
visible	div	content
warning-callout	div	content
watermark	div	content
week-input	input	forms
